"Score","Group","Experience"
86.9940517444186,"With LLM","Less than Monthly"
82.5620648821675,"With LLM","Less than Monthly"
74.6742747165182,"With LLM","Less than Monthly"
78.7159702961604,"With LLM","Less than Monthly"
73.9283002604057,"With LLM","Less than Monthly"
73.6187655269221,"With LLM","Less than Monthly"
72.0569858107488,"With LLM","Less than Monthly"
73.0269136627024,"With LLM","Less than Monthly"
84.2545373366835,"With LLM","Less than Monthly"
75.7298593745728,"With LLM","Less than Monthly"
76.5962261821379,"With LLM","Less than Monthly"
77.2184371479955,"With LLM","Less than Monthly"
82.1623793924267,"With LLM","Less than Monthly"
73.4196808452761,"With LLM","Less than Monthly"
71.0374642480398,"With LLM","Less than Monthly"
84.3784846620159,"With LLM","Less than Monthly"
73.7941839154736,"With LLM","Less than Monthly"
72.3846701503006,"With LLM","Less than Monthly"
69.8186344055835,"With LLM","Less than Monthly"
69.576421388411,"With LLM","Less than Monthly"
73.1301326035101,"With LLM","Less than Monthly"
79.0899290858326,"With LLM","Less than Monthly"
81.5492406946486,"With LLM","Less than Monthly"
79.5379417691779,"With LLM","Less than Monthly"
74.1817135145237,"With LLM","Less than Monthly"
76.298749686923,"With LLM","Less than Monthly"
72.4770176815996,"With LLM","Less than Monthly"
72.4139091921299,"With LLM","Less than Monthly"
80.4232524948846,"With LLM","Less than Monthly"
70.9220371069823,"With LLM","Less than Monthly"
85.7764698274623,"With LLM","Less than Monthly"
75.5484020301707,"With LLM","Less than Monthly"
77.0726941331461,"With LLM","Less than Monthly"
72.3073614763021,"With LLM","Less than Monthly"
73.1280565511836,"With LLM","Less than Monthly"
69.4149193384738,"With LLM","Less than Monthly"
75.0853730581364,"With LLM","Less than Monthly"
78.0949120246223,"With LLM","Less than Monthly"
77.6215217208069,"With LLM","Less than Monthly"
72.0923175647262,"With LLM","Less than Monthly"
72.05689014573,"With LLM","Less than Monthly"
73.4890064082857,"With LLM","Less than Monthly"
83.4803033492317,"With LLM","Less than Monthly"
70.3134818966713,"With LLM","Less than Monthly"
75.104742028099,"With LLM","Less than Monthly"
85.5118091083946,"With LLM","Less than Monthly"
75.495125573356,"With LLM","Less than Monthly"
69.200796480893,"With LLM","Less than Monthly"
72.6761528236297,"With LLM","Less than Monthly"
78.4272998945244,"With LLM","Less than Monthly"
73.7463827699814,"Conventional Resources","Less than Monthly"
72.6287418187013,"Conventional Resources","Less than Monthly"
73.9364965952292,"Conventional Resources","Less than Monthly"
76.5429798828353,"Conventional Resources","Less than Monthly"
85.591052626875,"Conventional Resources","Less than Monthly"
75.4686093271667,"Conventional Resources","Less than Monthly"
82.4847969769091,"Conventional Resources","Less than Monthly"
79.7845246939034,"Conventional Resources","Less than Monthly"
75.3181606269632,"Conventional Resources","Less than Monthly"
66.8025879826564,"Conventional Resources","Less than Monthly"
72.8732960946849,"Conventional Resources","Less than Monthly"
73.0607772811692,"Conventional Resources","Less than Monthly"
76.2829265965692,"Conventional Resources","Less than Monthly"
83.8011920660009,"Conventional Resources","Less than Monthly"
89.7584738429866,"Conventional Resources","Less than Monthly"
85.2854863539026,"Conventional Resources","Less than Monthly"
75.2010942140263,"Conventional Resources","Less than Monthly"
65.4608356266542,"Conventional Resources","Less than Monthly"
73.6673208155695,"Conventional Resources","Less than Monthly"
76.5352433384398,"Conventional Resources","Less than Monthly"
81.0700780244046,"Conventional Resources","Less than Monthly"
81.7751678109056,"Conventional Resources","Less than Monthly"
80.1058565764988,"Conventional Resources","Less than Monthly"
67.6283539012032,"Conventional Resources","Less than Monthly"
81.0978582738001,"Conventional Resources","Less than Monthly"
73.3206567014367,"Conventional Resources","Less than Monthly"
77.0488162009675,"Conventional Resources","Less than Monthly"
76.4473070630424,"Conventional Resources","Less than Monthly"
78.569000589823,"Conventional Resources","Less than Monthly"
76.1480498969568,"Conventional Resources","Less than Monthly"
65.995149414486,"Conventional Resources","Less than Monthly"
80.4189757886407,"Conventional Resources","Less than Monthly"
78.3161594100981,"Conventional Resources","Less than Monthly"
74.4060902483307,"Conventional Resources","Less than Monthly"
76.7088670662801,"Conventional Resources","Less than Monthly"
76.8042318722108,"Conventional Resources","Less than Monthly"
77.326116811366,"Conventional Resources","Less than Monthly"
85.8450769958649,"Conventional Resources","Less than Monthly"
74.6856977263991,"Conventional Resources","Less than Monthly"
77.0083923033079,"Conventional Resources","Less than Monthly"
83.0103032384146,"Conventional Resources","Less than Monthly"
82.3250861402615,"Conventional Resources","Less than Monthly"
82.8715786622821,"Conventional Resources","Less than Monthly"
72.5351919936427,"Conventional Resources","Less than Monthly"
88.014896381757,"Conventional Resources","Less than Monthly"
76.4002052255811,"Conventional Resources","Less than Monthly"
87.2011110682412,"Conventional Resources","Less than Monthly"
67.8945838838157,"Conventional Resources","Less than Monthly"
76.1259015181254,"Conventional Resources","Less than Monthly"
83.4994874258153,"Conventional Resources","Less than Monthly"
76.1390312511088,"With LLM","More than Monthly"
75.989244127129,"With LLM","More than Monthly"
75.2458451855724,"With LLM","More than Monthly"
74.7899468826451,"With LLM","More than Monthly"
77.2513618672784,"With LLM","More than Monthly"
80.3247166918359,"With LLM","More than Monthly"
70.9431580083171,"With LLM","More than Monthly"
79.8479217334892,"With LLM","More than Monthly"
83.9467001856663,"With LLM","More than Monthly"
87.1502960729617,"With LLM","More than Monthly"
84.2047039688023,"With LLM","More than Monthly"
82.0270990551838,"With LLM","More than Monthly"
72.0930784035427,"With LLM","More than Monthly"
76.5939731679729,"With LLM","More than Monthly"
77.5918141736695,"With LLM","More than Monthly"
81.8140956110276,"With LLM","More than Monthly"
78.5773146639849,"With LLM","More than Monthly"
73.9654054877593,"With LLM","More than Monthly"
85.7377428323765,"With LLM","More than Monthly"
82.6455651671838,"With LLM","More than Monthly"
79.9497210899641,"With LLM","More than Monthly"
83.8724344413032,"With LLM","More than Monthly"
73.6449028510601,"With LLM","More than Monthly"
81.6432811911592,"With LLM","More than Monthly"
76.9083504947463,"With LLM","More than Monthly"
81.7349820874029,"With LLM","More than Monthly"
78.7567121813597,"With LLM","More than Monthly"
81.5318428521258,"With LLM","More than Monthly"
84.3420704602376,"With LLM","More than Monthly"
79.0291603612676,"With LLM","More than Monthly"
83.0702345478084,"With LLM","More than Monthly"
74.2462638594081,"With LLM","More than Monthly"
76.1135822382559,"With LLM","More than Monthly"
85.0768708455527,"With LLM","More than Monthly"
80.5095518920957,"With LLM","More than Monthly"
70.7911087182651,"With LLM","More than Monthly"
73.5438501916705,"With LLM","More than Monthly"
78.1968759376435,"With LLM","More than Monthly"
82.463117617338,"With LLM","More than Monthly"
78.5924669771391,"With LLM","More than Monthly"
81.4967498880826,"With LLM","More than Monthly"
82.8360215111513,"With LLM","More than Monthly"
85.6842193154518,"With LLM","More than Monthly"
79.2240669330998,"With LLM","More than Monthly"
78.7920723752764,"With LLM","More than Monthly"
71.9870505634309,"With LLM","More than Monthly"
79.3973103763513,"With LLM","More than Monthly"
76.7125997684177,"With LLM","More than Monthly"
75.1039616687836,"With LLM","More than Monthly"
78.2803750758098,"With LLM","More than Monthly"
79.0747158637183,"Conventional Resources","More than Monthly"
64.0362575565571,"Conventional Resources","More than Monthly"
71.8636035639729,"Conventional Resources","More than Monthly"
74.5831864179135,"Conventional Resources","More than Monthly"
69.5339621497252,"Conventional Resources","More than Monthly"
75.6695147124961,"Conventional Resources","More than Monthly"
76.0571496030787,"Conventional Resources","More than Monthly"
73.83481920362,"Conventional Resources","More than Monthly"
61.6705090311999,"Conventional Resources","More than Monthly"
86.8572907293332,"Conventional Resources","More than Monthly"
72.973503712659,"Conventional Resources","More than Monthly"
77.2559664079383,"Conventional Resources","More than Monthly"
75.3688324551827,"Conventional Resources","More than Monthly"
79.1233661740918,"Conventional Resources","More than Monthly"
78.0882972318704,"Conventional Resources","More than Monthly"
72.9510341438575,"Conventional Resources","More than Monthly"
75.8908388610425,"Conventional Resources","More than Monthly"
69.2729558443805,"Conventional Resources","More than Monthly"
78.2846150544966,"Conventional Resources","More than Monthly"
71.6948083055782,"Conventional Resources","More than Monthly"
86.083866768941,"Conventional Resources","More than Monthly"
65.7447555215591,"Conventional Resources","More than Monthly"
71.6800637851699,"Conventional Resources","More than Monthly"
78.1268993137962,"Conventional Resources","More than Monthly"
76.5506627343933,"Conventional Resources","More than Monthly"
71.052594807425,"Conventional Resources","More than Monthly"
69.0160962889624,"Conventional Resources","More than Monthly"
74.7223785235535,"Conventional Resources","More than Monthly"
73.9284629341654,"Conventional Resources","More than Monthly"
65.0485938136797,"Conventional Resources","More than Monthly"
74.1727553356693,"Conventional Resources","More than Monthly"
74.9511515784623,"Conventional Resources","More than Monthly"
74.8736319849092,"Conventional Resources","More than Monthly"
68.7249147869866,"Conventional Resources","More than Monthly"
76.3806663915131,"Conventional Resources","More than Monthly"
80.8928506847962,"Conventional Resources","More than Monthly"
76.2811820158991,"Conventional Resources","More than Monthly"
68.3220576481283,"Conventional Resources","More than Monthly"
71.8217726515405,"Conventional Resources","More than Monthly"
75.730518097768,"Conventional Resources","More than Monthly"
70.7647718434087,"Conventional Resources","More than Monthly"
63.2117683249236,"Conventional Resources","More than Monthly"
78.421254100141,"Conventional Resources","More than Monthly"
69.8526119418774,"Conventional Resources","More than Monthly"
71.1321986461586,"Conventional Resources","More than Monthly"
81.5195030450227,"Conventional Resources","More than Monthly"
70.129275351973,"Conventional Resources","More than Monthly"
78.2286577009465,"Conventional Resources","More than Monthly"
67.6965856059061,"Conventional Resources","More than Monthly"
72.2272879846301,"Conventional Resources","More than Monthly"
