"Time","Group","Subgroup"
513.851078660447,"With LLM","Attending"
437.194400290295,"With LLM","Attending"
474.567621456376,"With LLM","Attending"
516.981091295018,"With LLM","Attending"
565.948717811375,"With LLM","Attending"
403.461741960242,"With LLM","Attending"
494.517203255211,"With LLM","Attending"
571.948450698184,"With LLM","Attending"
481.283358801569,"With LLM","Attending"
534.910434517106,"With LLM","Attending"
553.45599990451,"With LLM","Attending"
537.748451073218,"With LLM","Attending"
564.728037562997,"With LLM","Attending"
510.410393731583,"With LLM","Attending"
490.042644048552,"With LLM","Attending"
333.979573357972,"With LLM","Attending"
512.494128706437,"With LLM","Attending"
549.119928745199,"With LLM","Attending"
556.477918860771,"With LLM","Attending"
480.130515408072,"With LLM","Attending"
643.56520368426,"With LLM","Attending"
539.049709374018,"With LLM","Attending"
527.842110092122,"With LLM","Attending"
608.058674562796,"With LLM","Attending"
468.707364507652,"With LLM","Attending"
487.47629632527,"With LLM","Attending"
686.821673603483,"With LLM","Attending"
519.779043105462,"With LLM","Attending"
633.349789498581,"With LLM","Attending"
418.304534855983,"With LLM","Attending"
505.663823856997,"With LLM","Attending"
545.489673254578,"With LLM","Attending"
540.002698164406,"With LLM","Attending"
448.605461834241,"With LLM","Attending"
520.348149223776,"With LLM","Attending"
443.580554282161,"With LLM","Attending"
568.8892327671,"With LLM","Attending"
594.934256290245,"With LLM","Attending"
363.250861245881,"With LLM","Attending"
605.49854236101,"With LLM","Attending"
432.126885223406,"With LLM","Attending"
550.833848828784,"With LLM","Attending"
565.193184669983,"With LLM","Attending"
505.0077120329,"With LLM","Attending"
473.842023019815,"With LLM","Attending"
530.572471486944,"With LLM","Attending"
549.717309050012,"With LLM","Attending"
580.831197396409,"With LLM","Attending"
375.336411126863,"With LLM","Attending"
404.453451235868,"With LLM","Attending"
679.432187295055,"Conventional Resources","Resident"
648.730307768924,"Conventional Resources","Resident"
599.823115912615,"Conventional Resources","Resident"
622.214272568885,"Conventional Resources","Resident"
638.37399341128,"Conventional Resources","Resident"
352.126176122746,"Conventional Resources","Resident"
653.822167731106,"Conventional Resources","Resident"
526.200992275014,"Conventional Resources","Resident"
583.449346450496,"Conventional Resources","Resident"
541.387375929314,"Conventional Resources","Resident"
634.7571963263,"Conventional Resources","Resident"
537.122204083551,"Conventional Resources","Resident"
606.48030127106,"Conventional Resources","Resident"
533.745201708882,"Conventional Resources","Resident"
477.57702327188,"Conventional Resources","Resident"
661.800840835221,"Conventional Resources","Resident"
624.272000901942,"Conventional Resources","Resident"
702.940979132516,"Conventional Resources","Resident"
570.212314606344,"Conventional Resources","Resident"
655.000219666254,"Conventional Resources","Resident"
723.033524321526,"Conventional Resources","Resident"
542.481430796883,"Conventional Resources","Resident"
459.163910979583,"Conventional Resources","Resident"
545.851874628951,"Conventional Resources","Resident"
547.876700801169,"Conventional Resources","Resident"
577.134440360746,"Conventional Resources","Resident"
701.984398185543,"Conventional Resources","Resident"
538.908488599572,"Conventional Resources","Resident"
594.840372464393,"Conventional Resources","Resident"
546.785274808357,"Conventional Resources","Resident"
566.636056682003,"Conventional Resources","Resident"
590.124613080501,"Conventional Resources","Resident"
671.257175682959,"Conventional Resources","Resident"
574.705470199262,"Conventional Resources","Resident"
622.027385602489,"Conventional Resources","Resident"
627.308802382683,"Conventional Resources","Resident"
638.181861668451,"Conventional Resources","Resident"
519.048435825249,"Conventional Resources","Resident"
695.150497135574,"Conventional Resources","Resident"
534.523460856479,"Conventional Resources","Resident"
556.53726658802,"Conventional Resources","Resident"
677.324021417134,"Conventional Resources","Resident"
668.526712491646,"Conventional Resources","Resident"
477.800650207101,"Conventional Resources","Resident"
495.154319966603,"Conventional Resources","Resident"
456.353675250351,"Conventional Resources","Resident"
579.547775409587,"Conventional Resources","Resident"
578.187269433477,"Conventional Resources","Resident"
594.129174988405,"Conventional Resources","Resident"
609.172617137485,"Conventional Resources","Resident"
